state,Full Name,area (sq. mi)
AL,Alabama,52423
AK,Alaska,656425
AZ,Arizona,114006
AR,Arkansas,53182
CA,California,163707
CO,Colorado,104100
CT,Connecticut,5544
DE,Delaware,1954
DC,District of Columbia,68
FL,Florida,65758
GA,Georgia,59441
HI,Hawaii,10932
ID,Idaho,83574
IL,Illinois,57918
IN,Indiana,36420
IA,Iowa,56276
KS,Kansas,82282
KY,Kentucky,40411
LA,Louisiana,51843
ME,Maine,35387
MD,Maryland,12407
MA,Massachusetts,10555
MI,Michigan,96810
MN,Minnesota,86943
MS,Mississippi,48434
MO,Missouri,69709
MT,Montana,147046
NE,Nebraska,77358
NV,Nevada,110567
NH,New Hampshire,9351
NJ,New Jersey,8722
NM,New Mexico,121593
NY,New York,54475
NC,North Carolina,53821
ND,North Dakota,70704
OH,Ohio,44828
OK,Oklahoma,69903
OR,Oregon,98386
PA,Pennsylvania,46058
PR,Puerto Rico,3515
RI,Rhode Island,1545
SC,South Carolina,32007
SD,South Dakota,77121
TN,Tennessee,42146
TX,Texas,268601
UT,Utah,84904
VT,Vermont,9615
VA,Virginia,42769
WA,Washington,71303
WV,West Virginia,24231
WI,Wisconsin,65503
WY,Wyoming,97818
